name;version;name;wmc;dit;noc;cbo;rfc;lcom;ca;npm;bug
ant;1.7;org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory;3;1;0;10;18;3;1;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler;5;2;0;4;13;0;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter;1;2;0;1;3;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter;8;1;9;13;20;12;9;8;0
ant;1.7;org.apache.tools.ant.taskdefs.WaitFor;9;3;0;5;26;16;0;7;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo;3;2;5;7;4;1;6;2;0
ant;1.7;org.apache.tools.zip.AsiExtraField;20;1;0;4;40;130;0;18;1
ant;1.7;org.apache.tools.ant.types.resources.selectors.Date;13;1;0;7;28;20;2;12;0
ant;1.7;org.apache.tools.ant.util.facade.FacadeTaskHelper;9;1;0;5;19;8;4;9;0
ant;1.7;org.apache.tools.ant.types.selectors.DepthSelector;7;5;0;9;25;0;6;7;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.JSharp;9;6;0;5;17;26;0;6;0
ant;1.7;org.apache.tools.ant.taskdefs.LogStreamHandler;3;2;0;19;10;3;14;3;0
ant;1.7;org.apache.tools.ant.input.InputHandler;1;1;0;10;1;0;8;1;0
ant;1.7;org.apache.tools.zip.JarMarker;9;1;0;3;12;20;1;8;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl;19;4;0;7;40;129;0;16;0
ant;1.7;org.apache.tools.ant.types.resources.Restrict;10;4;2;13;26;0;7;9;0
ant;1.7;org.apache.tools.ant.DemuxInputStream;3;2;0;2;5;0;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc;20;1;0;7;79;136;5;10;0
ant;1.7;org.apache.tools.zip.ZipExtraField;6;1;0;8;6;15;7;6;0
ant;1.7;org.apache.tools.ant.types.resources.comparators.FileSystem;3;4;0;5;11;1;1;1;1
ant;1.7;org.apache.tools.ant.taskdefs.condition.TypeFound;5;2;0;7;14;6;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler;1;1;0;1;1;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.email.Message;11;2;0;7;26;0;5;11;0
